Utbildning,Nivå,Grundläggande behörighet,Särskild behörighet,Andra villkor,Organisatör/Länk
Javautvecklare,YH,Okänd,"Matematik 2, 100p; Programmering 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9048
Data Engineer,YH,Okänd,"Matematik 2, 100p; Programmering 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9049
Projektledare Kyla,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9052
Technical Sales Manager,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9053
Projektledare Elkraft,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9054
Automations- och Robotingenjör med Industri 4.0,YH,Okänd,"Praktisk ellära, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9057
Underhållsingenjör – Smart Maintenance,YH,Okänd,"Matematik 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9058
Ventilationstekniker,YH,Okänd,"Matematik 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9059
Internationell affärslogistiker - Green management,YH,Okänd,"Engelska 6, 100p; Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9061
VVS-ingenjör - energi och teknik,YH,Okänd,"Matematik 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9063
